;Tweets
41;@Williamild Duh, Maaf nih Kak Will, udah keganggu. Mengenai kendala sinyal. Yuk infoin nomor HP, tanggal waktu keja… https://t.co/Z4MRvaeRql
42;@Saraahdvy Halo, Kak Sarah. Maaf ya. Mengenai kendala aplikasi MyTelkomsel, udah clear cache dan menggunakan apps v… https://t.co/EvN5LPrdfG
43;@lutfiahsiti_ Hai, Kak. Maafin untuk keluhan tarif paketnya. Telkomsel memberi penawaran secara personal sesuai pro… https://t.co/oGuQse7grx
44;@lutfiahsiti_ Hai, Kak Lutfiah. Maaf ya untuk keluhan tarif paketnya. Masih banyak kok paket murah lainnya dari Tel… https://t.co/yggm0I2O6A
45;@lutfiahsiti_ Duhh jadi ga nyaman ya, Kak Lutfiah😥 Mengenai keluhan tarif, Arel infoin bahwa harga dan beenfit sesu… https://t.co/A2ge9riQgh
46;@Marsha09871 Baik, Kak Marsha. Mohon berkenan menunggu interaksi selanjutnya di DM ya Kak. Terima kasih😊-Dofi
47;@krissapto Hai, Kak Kris. Maaf ya untuk Paket Darurat tiba-tiba aktif. Yuk infoin nomor hp Kakak ke DM agar Kami ba… https://t.co/0TT85aPW3X
48;@lutfiahsiti_ Hai, Kak Lutfiah. Maaf ya untuk keluhan tarif dan kuota dibagi. Coba deh infoin nomor hp Kakak ke DM… https://t.co/o2jSfxxUL4
49;@bilawalpandhu Hai, Kak Pandhu. Maaf ya. Kami infoin, sejak 30 Mei 20 22 beberapa paket sudah tidak include berlang… https://t.co/2Mdnov9kwn
50;@sandiblogging Baik, Kak Sandi. Mohon berkenan menunggu interaksi selanjutnya di DM ya Kak. Terima kasih😊-Dofi
51;@lestyasaridevi Baik, Kak Lestyasari. Mohon berkenan menunggu interaksi selanjutnya di DM ya Kak. Terima kasih😊-Dofi
52;@joshuahendii Baik, Kak Joshua. Mohon berkenan menunggu interaksi selanjutnya di DM ya Kak. Terima kasih😊-Dofi
53;@joshuahendii Hai, Kak Joshua. Maaf ya belum bisa nikmatin paket Disney+ Hotstar. Jangan khawatir, pasti akan diban… https://t.co/7PIjHNoVou
54;@AiEmalia Duhh udah nungguin ya, Kak Ai😢 Arel cek DM Kakak sudah masuk dalam antrian. Mohon untuk menunggu interaks… https://t.co/joCiebNbuP
55;@joshuahendii Hai, Kak Joshua. Arel ikut sedih atas kendala yang dialami. Mengenai kendala paket Disney+ Hotstar, k… https://t.co/rysjN8HUZ7
56;@lestyasaridevi Untuk pengecekan lebih lanjut, yuk infoin nomor hp, tanggal dan nominal pengisian ke DM agar privas… https://t.co/ho4Um9d6L5
57;@lestyasaridevi Hai, Kak Lestyasari. Maaf ya untuk keluhan masa aktif ga bertambah. Kami infoin, saat ini Telkomsel… https://t.co/GXjWkeoEz5
58;@kkya25 Hai, Kak Kiky. Buah manggis, buah pepaya. Sabar ya manis, Arel lagi cek satu-satu DMnya. Mohon ditunggu😉 -Arel
59;@keyopie Hai, Kak Jae. Untuk buat kartu dengan nomor yang sama belum bisa Kami bantu ya, silakan Kakak melakukan pe… https://t.co/NaE4vmLeV8
60;@heavyrailn Baik, Kak. Mohon berkenan menunggu interaksi selanjutnya di DM ya Kak. Terima kasih😊-Dofi
61;@heavyrailn Hai, Kak. Pasti jadi ga nyaman ya Kak :(. Untuk kendala lemah, yuk infoin nomor hp dan lokasi (Keluraha… https://t.co/VqXSRI0OcV
62;@Astrobo0y Baik, Kak Irfan. Pak lurah namanya adam. Gea segera meluncur ke DM. Mohon berkenan menunggu ya kak. Makasih 😊-Gea
63;@Astrobo0y Halo, Kak Irfan. Mengenai informasi paket yang include dengan Disney+Hotstar, yuk infokan nomor Hp ke DM… https://t.co/bJ7O3wWmWZ
64;@ranyademure Hai, Kak Rania. Pasti udah ga sabar buat nikmatin paket Surprise Deal ya Kak? xixi, staytuned ya. Terima kasih😊-Dofi
65;@inokiciw__ Hai, kak Ino. Maaf ya. Mengenai kendala tidak bisa gift paket, yuk infokan No.Hp, No. penerima, Tgl kej… https://t.co/ljNKG0NE6S
66;@ArumTijo Pagi, Kak Arum. maaf banget ya. Mengenai kendala akses internet lambat. Mimin bantu ya, yuk infokan No.Hp… https://t.co/iijtXYpjTv
67;@mahmudah_29 Baik, Kak Eka. meraih pohon dengan dagu, Mohon berkenan menunggu. Makasih😊-Gea
68;@surishanza Baik, Kak Shanza. Gea segera meluncur ke DM ya. Mohon berkenan menunggu. Makasih 😊-Gea
69;@mahmudah_29 Baik, Kak. Pak lurah namanya adam. Gea segera meluncur ke DM. Makasih 😊-Gea
70;@pejuangkhilaf Maaf ya Kak. Ary sarankan untuk aktivasi paket yang tersedia ya Kak. Makasih 😊 -Ary
71;@mahmudah_29 Pagi, Kak Eka. Mengenai informasi paket yg include dengan Disney+, yuk interaksinya dilanjut ke DM aga… https://t.co/OXZg2WzkZD
72;@pejuangkhilaf Baik, Kak. Maaf jadi ga nyaman. Jika kendalanya belum dapat terselesaikan, yuk kita lanjutin tek tok… https://t.co/I3kEzLkCRr
73;@TemannyaRobin  Baik, Kak Jorgi. Jika kendalanya belum dapat terselesaikan, yuk kita lanjutin tek tokannya di DM, G… https://t.co/c0gcimoYiy
74;@Daeng_Syamsul Pagi, Kak Syamsul.  Mohon maaf  terkait keluhan sinyal tidak stabil.  yuk infokan nomor HP, Lokasi d… https://t.co/f2jf3OMKJy
75;@purnamaku_  Baik, Kak Purnama.  Mohon maaf ya, terkait keluhan jaringan, pastikan kakak sudah menginfokan nomor HP… https://t.co/3E1ShXjXpr
76;@TemannyaRobin Pagi, Kak Jorgi  Maafin ya. Boleh ceritain detail kendala yang kakak alami? Gea siap bantu loh, atau… https://t.co/wWIFI2UFO8
77;@fikrimaret Pagi, Kak Fikri. Maafin ya. Boleh ceritain detail kendala yang kakak alami? Gea siap bantu loh, atau Ka… https://t.co/OEke2Kun0O
78;@did1k Maaf ya Kak Dikdik, mengenai eSIM saat ini masih dalam pengembangan ya Kak. Makasih 😊 -Ary
79;@Dedi_Novendi Duhh, pasti gak nyaman banget ya kak :( Boleh dong infoin ke DM nomor HP yang berkendala sama detail… https://t.co/A6DGrHr1ax
80;@khann_04 Halo, Kak. Mengenai informasi reaktivasi nomor. Yuk infokan nomor yang berkendala ke DM ya, Gea coba bantu kendanya. Makasih 😊-Gea
81;@altexxyz Aduh, Maaf ya Kak. Paket yang mana? Yuk interaksinya dilanjut di DM ya, agar Gea bisa bantu kendala yang… https://t.co/R2kgmYVJix
82;@miyaaaawz Halo, Kak Miya. Maaf ya, terkait tidak tersedianya paket Combo SAKTI include Disney+ Hotstar di MyTelkom… https://t.co/6Ywl7tSLW0
83;@altexxyz Halo kak  :) Masa sih mahal semua kak, kan ada paket promonya. Coba DM nomornya biar bisa dibantu pengece… https://t.co/Bt0TQLeVGG
84;@22november7 Malam, Kak. Mengenai Paket bundling. Yuk interaksinya dilanjut di DM ya, agar Gea bisa saranin paket D… https://t.co/aBlhhd0MIk
85;@ardannnp Baik, Kak Ardan. Maaf ya, terkait keluhan akses internet lambat, silakan infokan nomor HP, Lokasi detail,… https://t.co/j5Yuao3tfA
86;@sanchoo9779 Baik, Kak. Gea ikut senang jika kendalanya sudah bisa teratasi. Jika ada pertanyaan atau keluhan lainn… https://t.co/MOHtMYQr7C
87;@pejuangkhilaf Baik, Kak. Jangan khawatir, jangan sedih, jangan risau. Gea pasti kasih tau penawaran paket terbaik… https://t.co/YwLjmrgdGQ
88;@borjueis Halo, Kak Milan. Terkait reaktivasi kartu, saat ini hanya bisa dibantu apabila nomor belum melewati waktu… https://t.co/qYFJWUTC4T
89;@KaDRuN_ToL0L Sudah infoin nomornya ke DM? Yuk interaksinya dilanjut ke DM ya, Gea kasih tau nih penawaran paket te… https://t.co/cS9xM9ttJe
