;Unnamed: 0.1;Unnamed: 0;Tweets;langkah01;token;token_akhir;langkah02;finalText_str;teksprocessed
10;10;10;@juliandany Baik, Kak Julian. Mohon berkenan menunggu interaksi selanjutnya di DM ya Kak. Terima kasih😊-Dofi;juliandany baik kak julian mohon berkenan menunggu interaksi selanjutnya di dm ya kak terima kasih dofi;['juliandany', 'baik', 'kak', 'julian', 'mohon', 'berkenan', 'menunggu', 'interaksi', 'selanjutnya', 'di', 'dm', 'ya', 'kak', 'terima', 'kasih', 'dofi'];['juliandany', 'baik', 'kak', 'julian', 'mohon', 'berkenan', 'menunggu', 'interaksi', 'selanjutnya', 'di', 'dm', 'ya', 'kak', 'terima', 'kasih', 'dofi'];juliandany baik kak julian mohon berkenan menunggu interaksi selanjutnya di dm ya kak terima kasih dofi;juliandany baik kak julian mohon berkenan menunggu interaksi selanjutnya di dm ya kak terima kasih dofi;juliandany baik juli mohon kenan tunggu interaksi lanjut dm kak terima kasih dofi
11;11;11;@muhammaddahlanc Keganggu ya, Kak Dahlan. Mengenai kendala aktivasi paket belum masuk. Yuk infoin nomor HP, lokasi… https://t.co/Fvi3tpEzWy;muhammaddahlanc keganggu ya kak dahlan mengenai kendala aktivasi paket belum masuk yuk infoin nomor hp lokasi cofvitpezwy;['muhammaddahlanc', 'keganggu', 'ya', 'kak', 'dahlan', 'mengenai', 'kendala', 'aktivasi', 'paket', 'belum', 'masuk', 'yuk', 'infoin', 'nomor', 'hp', 'lokasi', 'cofvitpezwy'];['muhammaddahlanc', 'keganggu', 'ya', 'kak', 'dahlan', 'mengenai', 'kendala', 'aktivasi', 'paket', 'belum', 'masuk', 'yuk', 'infoin', 'nomor', 'hp', 'lokasi', 'cofvitpezwy'];muhammaddahlanc keganggu ya kak dahlan mengenai kendala aktivasi paket belum masuk yuk infoin nomor hp lokasi cofvitpezwy;muhammaddahlanc keganggu ya kak dahlan mengenai kendala aktivasi paket belum masuk yuk infoin nomor hp lokasi cofvitpezwy;muhammaddahlanc ganggu kak dahlan kena kendala aktivasi paket masuk yuk infoin nomor hp lokasi cofvitpezwy
12;12;12;@kiflizul1 Duhh jadi ga nyaman ya, Kak Zulkifli😥 Mengenai kendala melakukan panggilan, yuk infoin Nomor HP Kakak, N… https://t.co/gOGvxruLBB;kiflizul duhh jadi ga nyaman ya kak zulkifli mengenai kendala melakukan panggilan yuk infoin nomor hp kakak cogogv;['kiflizul', 'duhh', 'jadi', 'ga', 'nyaman', 'ya', 'kak', 'zulkifli', 'mengenai', 'kendala', 'melakukan', 'panggilan', 'yuk', 'infoin', 'nomor', 'hp', 'kakak', 'cogogv'];['kiflizul', 'duhh', 'jadi', 'ga', 'nyaman', 'ya', 'kak', 'zulkifli', 'mengenai', 'kendala', 'melakukan', 'panggilan', 'yuk', 'infoin', 'nomor', 'hp', 'kakak', 'cogogv'];kiflizul duhh jadi ga nyaman ya kak zulkifli mengenai kendala melakukan panggilan yuk infoin nomor hp kakak cogogv;kiflizul duhh jadi ga nyaman ya kak zulkifli mengenai kendala melakukan panggilan yuk infoin nomor hp kakak cogogv;kiflizul duhh jadi ga nyaman kak zulkifli kena kendala laku panggil yuk infoin nomor hp kakak cogogv
13;13;13;@juliandany Dibuat bingung ya, Kak Julian. Terkait kendala nomor kartuHalo terblokir karena pembayaran telat. Yuk i… https://t.co/i5tyw42pNH;juliandany dibuat bingung ya kak julian terkait kendala nomor kartuhalo terblokir karena pembayaran telat yuk coitywpnh;['juliandany', 'dibuat', 'bingung', 'ya', 'kak', 'julian', 'terkait', 'kendala', 'nomor', 'kartuhalo', 'terblokir', 'karena', 'pembayaran', 'telat', 'yuk', 'coitywpnh'];['juliandany', 'dibuat', 'bingung', 'ya', 'kak', 'julian', 'terkait', 'kendala', 'nomor', 'kartuhalo', 'terblokir', 'karena', 'pembayaran', 'telat', 'yuk', 'coitywpnh'];juliandany dibuat bingung ya kak julian terkait kendala nomor kartuhalo terblokir karena pembayaran telat yuk coitywpnh;juliandany dibuat bingung ya kak julian terkait kendala nomor kartuhalo terblokir karena pembayaran telat yuk coitywpnh;juliandany buat bingung kak juli kait kendala nomor kartuhalo blokir bayar telat yuk coitywpnh
14;14;14;@jejeeewwww Duh gak nyaman ya, Kak Jeje. Terkait kendala aktivasi paket melalui aplikasi MyTelkomsel. Yuk infoin no… https://t.co/MMdPdNTvAl;jejeeewwww duh gak nyaman ya kak jeje terkait kendala aktivasi paket melalui aplikasi mytelkomsel yuk infoin no commdpdntval;['jejeeewwww', 'duh', 'gak', 'nyaman', 'ya', 'kak', 'jeje', 'terkait', 'kendala', 'aktivasi', 'paket', 'melalui', 'aplikasi', 'mytelkomsel', 'yuk', 'infoin', 'no', 'commdpdntval'];['jejeeewwww', 'duh', 'gak', 'nyaman', 'ya', 'kak', 'jeje', 'terkait', 'kendala', 'aktivasi', 'paket', 'melalui', 'aplikasi', 'mytelkomsel', 'yuk', 'infoin', 'no', 'commdpdntval'];jejeeewwww duh gak nyaman ya kak jeje terkait kendala aktivasi paket melalui aplikasi mytelkomsel yuk infoin no commdpdntval;jejeeewwww duh gak nyaman ya kak jeje terkait kendala aktivasi paket melalui aplikasi mytelkomsel yuk infoin no commdpdntval;jejeeewwww duh gak nyaman kak jeje kait kendala aktivasi paket lalu aplikasi mytelkomsel yuk infoin no commdpdntval
15;15;15;@DianPurwandi Dibuat gak nyaman ya, kak Dian. Kalo Kakak udah konfirmasi melalui DM, pasti dibantu proses ya, Kak.… https://t.co/QPzaWVXe29;dianpurwandi dibuat gak nyaman ya kak dian kalo kakak udah konfirmasi melalui dm pasti dibantu proses ya kak coqpzawv;['dianpurwandi', 'dibuat', 'gak', 'nyaman', 'ya', 'kak', 'dian', 'kalo', 'kakak', 'udah', 'konfirmasi', 'melalui', 'dm', 'pasti', 'dibantu', 'proses', 'ya', 'kak', 'coqpzawv'];['dianpurwandi', 'dibuat', 'gak', 'nyaman', 'ya', 'kak', 'dian', 'kalo', 'kakak', 'udah', 'konfirmasi', 'melalui', 'dm', 'pasti', 'dibantu', 'proses', 'ya', 'kak', 'coqpzawv'];dianpurwandi dibuat gak nyaman ya kak dian kalo kakak udah konfirmasi melalui dm pasti dibantu proses ya kak coqpzawv;dianpurwandi dibuat gak nyaman ya kak dian kalo kakak udah konfirmasi melalui dm pasti dibantu proses ya kak coqpzawv;dianpurwandi buat gak nyaman kak dian kalo kakak udah konfirmasi lalu dm bantu proses kak coqpzawv
16;16;16;@aiIurophiiIes Okeyy, Kak Chel. Tunggu interaksi selanjutnya di DM ya. Makasih :) -Micha;aiiurophiiies okeyy kak chel tunggu interaksi selanjutnya di dm ya makasih micha;['aiiurophiiies', 'okeyy', 'kak', 'chel', 'tunggu', 'interaksi', 'selanjutnya', 'di', 'dm', 'ya', 'makasih', 'micha'];['aiiurophiiies', 'okeyy', 'kak', 'chel', 'tunggu', 'interaksi', 'selanjutnya', 'di', 'dm', 'ya', 'makasih', 'micha'];aiiurophiiies okeyy kak chel tunggu interaksi selanjutnya di dm ya makasih micha;aiiurophiiies okeyy kak chel tunggu interaksi selanjutnya di dm ya makasih micha;aiiurophiiies okeyy chel tunggu interaksi lanjut dm makasih micha
17;17;17;@rizkyan27210789 Duh, Maaf nih Kak Rizkyan, udah keganggu. Mengenai kendala akses internet lambat. Yuk infoin nomor… https://t.co/rsfj2YGEtm;rizkyan duh maaf nih kak rizkyan udah keganggu mengenai kendala akses internet lambat yuk infoin nomor corsfjygetm;['rizkyan', 'duh', 'maaf', 'nih', 'kak', 'rizkyan', 'udah', 'keganggu', 'mengenai', 'kendala', 'akses', 'internet', 'lambat', 'yuk', 'infoin', 'nomor', 'corsfjygetm'];['rizkyan', 'duh', 'maaf', 'nih', 'kak', 'rizkyan', 'udah', 'keganggu', 'mengenai', 'kendala', 'akses', 'internet', 'lambat', 'yuk', 'infoin', 'nomor', 'corsfjygetm'];rizkyan duh maaf nih kak rizkyan udah keganggu mengenai kendala akses internet lambat yuk infoin nomor corsfjygetm;rizkyan duh maaf nih kak rizkyan udah keganggu mengenai kendala akses internet lambat yuk infoin nomor corsfjygetm;rizkyan duh maaf nih rizkyan udah ganggu kena kendala akses internet lambat yuk infoin nomor corsfjygetm
18;18;18;@andaluise Hai, Kak Ayun. Maaf jadi ga nyaman. Mengenai kendala Disney+ Hotstar, kalo masih sama kuy interaksinya d… https://t.co/jOFOCKdOHe;andaluise hai kak ayun maaf jadi ga nyaman mengenai kendala disney hotstar kalo masih sama kuy interaksinya cojofockdohe;['andaluise', 'hai', 'kak', 'ayun', 'maaf', 'jadi', 'ga', 'nyaman', 'mengenai', 'kendala', 'disney', 'hotstar', 'kalo', 'masih', 'sama', 'kuy', 'interaksinya', 'cojofockdohe'];['andaluise', 'hai', 'kak', 'ayun', 'maaf', 'jadi', 'ga', 'nyaman', 'mengenai', 'kendala', 'disney', 'hotstar', 'kalo', 'masih', 'sama', 'kuy', 'interaksinya', 'cojofockdohe'];andaluise hai kak ayun maaf jadi ga nyaman mengenai kendala disney hotstar kalo masih sama kuy interaksinya cojofockdohe;andaluise hai kak ayun maaf jadi ga nyaman mengenai kendala disney hotstar kalo masih sama kuy interaksinya cojofockdohe;andaluise hai ayun maaf jadi ga nyaman kena kendala disney hotstar kalo sama kuy interaksi cojofockdohe
19;19;19;@tnyamelia Okeyy, Kak Amelia. Tunggu interaksi selanjutnya di DM ya. Makasih :) -Micha;tnyamelia okeyy kak amelia tunggu interaksi selanjutnya di dm ya makasih micha;['tnyamelia', 'okeyy', 'kak', 'amelia', 'tunggu', 'interaksi', 'selanjutnya', 'di', 'dm', 'ya', 'makasih', 'micha'];['tnyamelia', 'okeyy', 'kak', 'amelia', 'tunggu', 'interaksi', 'selanjutnya', 'di', 'dm', 'ya', 'makasih', 'micha'];tnyamelia okeyy kak amelia tunggu interaksi selanjutnya di dm ya makasih micha;tnyamelia okeyy kak amelia tunggu interaksi selanjutnya di dm ya makasih micha;tnyamelia okeyy amelia tunggu interaksi lanjut dm makasih micha
