TIDAK BAKU;BAKU
bget;banget
ortu;orangtua
ngaruh;pengaruh
mnrt;menurut
dptnya;dapatnya
trs;terus
trsbt;tersebut
ngritik;mengritik
critanya;ceritanya
skarang;sekarang
diwajibinnya;diwajibkannya
kagak;tidak
mendinh;baiknya
dodol;bodoh
bacod;cerewet
me;saya
benernya;benarnya
ngerasain;merasakan
seringin;seringkan
lbh;lebih
psikology;psikologi
nyusahin;menyusahkan
ataau;atau
stgh;setengah
ngurusin;mengurusi
rb;ribu
nemu;menemukan
bhs;bahasa
bosen;bosan
udh;sudah
duluan;dahulu
mnguasai;menguasai
ngelihat;melihat
ngancam;mengancam
ank;anak
thd;terhadap
sbnrnya;sebenarnya
bgmn;bagaimana
hrsnya;seharusnya
ktinggal;ketinggalan
berhsl;berhasil
mdptkan;mendapatkan
sgt;sangat
ttg;tentang
sll;selalu
ngerepotin;merepotkan
seneng;senang
ngasih;memberi
bikin;membuat
trus;terus
upload;mengunggah
rp;rupiah
belom;belum
nerima;menerima
diperhatiin;diperhatikan
ngajarin;mengajari
mhasiswa;mahasiswa
antaa;antara
like;suka
dikencengin;diperbesar
apply;mendaftar
syistem;sistem
volune;suara
volume;suara
dsiplin;disiplin
jg ;juga
sm;sama
ama;sama
ga;tidak
ruwet;rumit
ketimbang;daripada
fapet;peternakan
omdo;palsu
muluk;berlebihan
mending;baiknya
boroknya;bangkainya
ngabisin;menghabiskan
podo;sama
ae;saja
ancur;hancur
keteteran;kesulitan
alibinya;alasannya
alibi ;alasan 
awak;saya
ribet;rumit
liat;lihat
nerima;menerima
liat;lihat
nih;ini
tuh;itu
tu ;itu
and;dan
spya;supaya
seusatu;sesuatu
sebanranya;sebenarnya
karna;karena
jd;jadi 
jg ;juga
nyalonin;mencalonkan
ngak;tidak
persolannya;persoalannya
maganb;magang
koar;cerewet
nganggur;pengangguran
bablas;kacau
dlam;dalam
kemdikbud;kemendikbud
tingg;tinggal
pemventukan;pembentukan
kementrian;kementerian
berpengatahuan;berpengetahuan
kebih;lebih
goblokkk;bodoh
haa;apa
remed;remedi
msh;masih
ma;sama
apiknya;bagusnya
antaa;antara
gk;tidak
aksa;aksi
magan ;magang
